GMT,SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS,prob,Date,TH
0,91.2,12.4,13.4,-1.4,3.0,21.7,24.7,284.41,993.98,0.0,0.0,22.8,5636,,01/01/1981,0
12,66.0,9.3,8.0,0.0,6.2,22.7,28.9,281.75,856.09,0.0,0.0,24.7,5671,,01/01/1981,0
0,75.7,10.2,11.3,1.6,10.2,20.1,30.3,282.11,956.13,0.0,0.0,20.4,5592,,02/01/1981,0
12,111.7,8.5,7.5,0.8,13.1,20.1,33.2,280.44,836.26,0.0,0.0,23.0,5660,,02/01/1981,0
12,64.0,2.1,-0.2,2.8,13.4,24.1,37.5,284.25,862.29,-260.5,0.8,19.7,5636,,03/01/1981,0
0,128.3,6.9,6.9,17.5,16.3,25.3,41.6,284.79,978.71,0.0,0.0,23.8,5581,,04/01/1981,0
12,98.8,1.9,0.3,11.2,15.5,28.3,43.8,281.81,830.76,0.0,0.0,19.3,5625,,04/01/1981,0
0,194.2,2.8,1.2,23.5,22.5,28.1,50.6,286.68,965.77,-138.5,83.1,28.6,5578,,05/01/1981,0
12,157.8,-0.1,-3.2,31.3,20.1,27.3,47.4,286.87,875.9,-237.5,728.3,30.8,5599,,05/01/1981,0
0,151.4,5.1,1.8,25.4,18.9,24.9,43.8,289.11,975.72,-112.9,47.9,33.2,5648,,06/01/1981,0
12,224.1,3.3,-1.1,37.5,21.5,27.1,48.6,289.26,899.52,-254.4,50.3,41.7,5720,,06/01/1981,0
0,287.4,-1.1,-4.9,35.7,25.9,27.9,53.8,290.75,988.05,-22.1,699.7,32.2,5590,,07/01/1981,0
12,199.3,1.8,-1.8,25.6,21.7,22.7,44.4,289.7,957.17,-17.6,630.6,30.2,5601,,07/01/1981,0
0,93.6,8.6,8.2,12.0,12.5,20.1,32.6,285.79,988.33,0.0,0.0,25.5,5591,,08/01/1981,0
12,81.5,5.0,4.2,13.6,3.2,21.9,25.1,283.86,915.05,-73.6,0.8,21.7,5580,,08/01/1981,0
0,87.2,7.3,7.1,14.1,14.7,17.9,32.6,284.3,960.95,-17.1,41.5,23.0,5540,,09/01/1981,0
12,73.7,7.7,8.2,14.8,6.6,20.5,27.1,278.72,850.23,0.0,0.0,20.2,5564,,09/01/1981,0
0,67.9,11.5,12.4,14.8,11.9,23.1,35.0,280.73,928.51,0.0,0.0,24.1,5603,,10/01/1981,0
12,58.2,11.3,10.4,19.2,-0.6,24.3,23.7,284.0,939.07,0.0,0.0,22.6,5646,,10/01/1981,0
0,64.0,6.9,6.9,22.6,2.2,27.3,29.5,282.8,936.57,0.0,0.0,22.0,5599,,11/01/1981,0
12,108.7,10.8,9.2,21.3,12.3,21.5,33.8,284.13,918.11,0.0,0.0,32.1,5657,,11/01/1981,0
0,89.9,5.9,5.3,22.1,17.7,24.7,42.4,284.13,947.49,0.0,0.0,24.0,5566,,12/01/1981,0
