Year,Month,Date,GMT,SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS,prob
1981,1,1,0,91.2,12.4,13.4,-1.4,3,21.7,24.7,284.41,993.98,0,0,22.8,5636,,
1981,1,1,12,66,9.3,8,0,6.2,22.7,28.9,281.75,856.09,0,0,24.7,5671,,
1981,1,2,0,75.7,10.2,11.3,1.6,10.2,20.1,30.3,282.11,956.13,0,0,20.4,5592,,
1981,1,2,12,111.7,8.5,7.5,0.8,13.1,20.1,33.2,280.44,836.26,0,0,23,5660,,
1981,1,3,12,64,2.1,-0.2,2.8,13.4,24.1,37.5,284.25,862.29,-260.5,0.8,19.7,5636,,
1981,1,4,0,128.3,6.9,6.9,17.5,16.3,25.3,41.6,284.79,978.71,0,0,23.8,5581,,
1981,1,4,12,98.8,1.9,0.3,11.2,15.5,28.3,43.8,281.81,830.76,0,0,19.3,5625,,
1981,1,5,0,194.2,2.8,1.2,23.5,22.5,28.1,50.6,286.68,965.77,-138.5,83.1,28.6,5578,,
1981,1,5,12,157.8,-0.1,-3.2,31.3,20.1,27.3,47.4,286.87,875.9,-237.5,728.3,30.8,5599,,
1981,1,6,0,151.4,5.1,1.8,25.4,18.9,24.9,43.8,289.11,975.72,-112.9,47.9,33.2,5648,,
1981,1,6,12,224.1,3.3,-1.1,37.5,21.5,27.1,48.6,289.26,899.52,-254.4,50.3,41.7,5720,,
1981,1,7,0,287.4,-1.1,-4.9,35.7,25.9,27.9,53.8,290.75,988.05,-22.1,699.7,32.2,5590,,
1981,1,7,12,199.3,1.8,-1.8,25.6,21.7,22.7,44.4,289.7,957.17,-17.6,630.6,30.2,5601,,
1981,1,8,0,93.6,8.6,8.2,12,12.5,20.1,32.6,285.79,988.33,0,0,25.5,5591,,
1981,1,8,12,81.5,5,4.2,13.6,3.2,21.9,25.1,283.86,915.05,-73.6,0.8,21.7,5580,,
1981,1,9,0,87.2,7.3,7.1,14.1,14.7,17.9,32.6,284.3,960.95,-17.1,41.5,23,5540,,
1981,1,9,12,73.7,7.7,8.2,14.8,6.6,20.5,27.1,278.72,850.23,0,0,20.2,5564,,
1981,1,10,0,67.9,11.5,12.4,14.8,11.9,23.1,35,280.73,928.51,0,0,24.1,5603,,
1981,1,10,12,58.2,11.3,10.4,19.2,-0.6,24.3,23.7,284,939.07,0,0,22.6,5646,,
1981,1,11,0,64,6.9,6.9,22.6,2.2,27.3,29.5,282.8,936.57,0,0,22,5599,,
1981,1,11,12,108.7,10.8,9.2,21.3,12.3,21.5,33.8,284.13,918.11,0,0,32.1,5657,,
1981,1,12,0,89.9,5.9,5.3,22.1,17.7,24.7,42.4,284.13,947.49,0,0,24,5566,,
1981,1,12,12,111.7,3.4,0.6,26.5,17.1,24.7,41.8,287.41,946.61,-79.2,81,30,5601,,
1981,1,13,0,73.6,0.6,0.2,21.1,20.7,26.7,47.4,285.14,968.61,-84.1,7.8,20.2,5530,,
1981,1,13,12,170.6,3.5,1,29.7,21.5,24.1,45.6,286.12,907.67,-119.9,124.2,30.8,5601,,
1981,1,14,0,73.7,7.5,8.2,0.8,14.9,20.1,35,282.91,958.6,0,0,19.5,5545,,
1981,1,14,12,56.6,7.5,6.8,0.2,13.1,20.1,33.2,281,864.46,0,0,23,5608,,
1981,1,15,0,58.2,9.5,9.3,-2.6,9.6,20.3,29.9,283.71,961.07,0,0,22,5623,,
1981,1,15,12,52.4,9,7.4,0.4,1.2,23.7,24.9,281.18,839.98,0,0,25,5677,,
1981,1,16,0,52.4,13,13.9,1.2,11.1,24.1,35.2,281.5,953.63,0,0,18.5,5640,,
1981,1,16,12,42.7,6.6,6.5,4,14.1,26.1,40.2,278.29,833.66,0,0,16.5,5616,,
1981,1,17,0,36.9,11.5,11.3,2,11.1,24.7,35.8,283.54,963.73,0,0,21,5642,,
1981,1,17,12,27.2,6.6,3.6,-1.4,0.2,21.5,21.7,285.37,880.45,0,0,23.5,5664,,
1981,1,18,0,44.6,12.3,12.1,-2.4,9.9,21.5,31.4,283.71,961.07,0,0,20.5,5648,,
1981,1,18,12,44.6,12,12.3,-1,11.7,22.1,33.8,263.33,647.69,0,0,17.5,5646,,
1981,1,19,0,127.8,8.2,7.9,17,18.1,22.1,40.2,284.13,947.49,0,0,22.9,5579,,
1981,1,19,12,107.7,3,2.3,23.5,18.9,23.5,42.4,281.57,856.22,-268.3,152.2,23.4,5571,,
1981,1,20,0,95.7,5.2,5.3,17.5,18.5,23.5,42,284.3,960.95,-112.2,10.5,22.2,5546,,
1981,1,20,12,98.5,6.9,4.6,8,13.7,19.5,33.2,282.64,847.31,-318.4,42.7,24.3,5711,,
1981,1,21,0,99.5,8,7.6,10.7,16.3,20.7,37,284.43,955.61,-117.6,2.5,24.2,5583,,
1981,1,21,12,127.7,2.3,0.3,15.6,21.3,23.3,44.6,284.14,877.52,-191.2,35.5,23.7,5617,,
1981,1,22,0,87.3,6.9,7.2,7.4,9.6,22.7,32.3,283.49,958.48,0,0,17.1,5581,,
1981,1,22,12,112.6,5.7,5,13,15.7,23.3,39,279.19,809.8,0,0,20,5614,,
1981,1,23,0,75.7,9.4,9.1,3,8.8,20.3,29.1,283.51,933.43,0,0,19.2,5607,,
1981,1,23,12,120.1,2.2,0.2,12.4,19.1,24.3,43.4,283.89,862.53,-256.9,63.9,21.9,5617,,
1981,1,24,0,67.9,-0.9,-3.5,20.4,18,26.7,44.7,288.5,973.25,-30.2,351.2,23.1,5569,,
1981,1,24,12,141.7,-2.9,-7.2,32.3,22.7,25.9,48.6,290.15,915.66,-73.3,2142.9,32.5,5582,,
1981,1,25,12,127.4,3.5,2.6,19.2,19.7,26.9,46.6,279.28,814.53,0,0,21,5628,,
1981,1,26,0,162.4,5.3,3.4,31,22.3,25.1,47.4,286.7,968.37,0,0,30.8,5595,,
1981,1,26,12,145.6,0.3,-2.8,31,21.1,28.5,49.6,286.19,887.19,-181.8,462.4,29,5621,,
1981,1,27,0,129,1.9,-0.6,12.6,22.5,26.9,49.4,287.66,965.59,-107,143.5,22.9,5591,,
1981,1,27,12,146.8,1.3,-2.4,13,22.1,25.9,48,286.87,875.9,-216.9,458.2,26.6,5637,,
1981,1,28,0,140.1,4.7,2.6,9.6,18.7,24.3,43,286.85,963.12,0,0,20.6,5608,,
1981,1,28,12,66,6.8,5.2,0.4,2.8,22.5,25.3,281.32,835.56,0,0,15.6,5639,,
1981,1,29,12,114.1,6,2.7,9.2,12.3,22.9,35.2,286.14,876.33,-369.4,14.7,24.3,5671,,
1981,1,30,0,180.6,4.4,1.2,29.8,21.9,27.5,49.4,288.95,983.26,0,0,31.7,5656,,
1981,1,30,12,218,-3.9,-7.8,26.4,23.7,28.7,52.4,289.66,906.05,-93.5,1566.6,26.8,5611,,
1981,1,31,0,337.6,0.4,-4.9,36,24.9,29.7,54.6,292.69,980.42,-74.7,849,36.9,5677,,
1981,1,31,12,440.9,-2.4,-6.9,38.6,28.9,30.1,59,291.72,962.2,-44.3,1160.8,36.6,5607,,
1981,2,1,0,306.8,1.1,-6.9,36.5,26.1,27.1,53.2,289.56,1000.96,0,0,33.2,5583,,
1981,2,1,12,177.9,-1.5,-5.7,29,23.9,24.9,48.8,291.64,972.82,-10.4,1180,31.8,5576,,
1981,2,2,0,56.3,3.3,0.5,13.8,11.6,26.9,38.5,288.97,990.55,-57.2,63.6,23.8,5596,,
1981,2,2,12,123.5,5.3,1.8,14.6,15.5,19.5,35,287.7,910.2,-72.7,211.7,29.8,5614,,
1981,2,3,0,71.9,9.1,8.9,7.2,14.9,20.7,35.6,281.9,912.77,0,0,24.2,5617,,
1981,2,3,12,31,6.1,3.5,4.8,-2.6,17.5,14.9,285.26,887.68,-130.3,51,24.2,5632,,
1981,2,4,0,126.5,11.4,10,7.8,13.5,18.5,32,285.73,968.52,0,0,23.6,5640,,
1981,2,4,12,81.5,8.8,5.9,3.6,6,21.5,27.5,285.26,887.68,0,0,22.1,5681,,
1981,2,5,0,109.3,13.5,11.7,6.8,9.9,21.9,31.8,285.92,968.49,0,0,23,5684,,
1981,2,5,12,79.5,6.3,3.3,3,7.4,27.7,35.1,283.44,833.88,0,0,20.9,5707,,
1981,2,6,0,87.1,5.4,3.8,8.4,15.7,27.7,43.4,284.78,930.04,0,0,19.5,5647,,
1981,2,6,12,150.1,-0.9,-5.1,11.8,19.5,26.5,46,288.7,874.83,-214.8,1479.4,25.6,5642,,
1981,2,7,0,82.8,6.6,4.6,16,14.3,27.1,41.4,286.7,968.37,0,0,20.8,5649,,
1981,2,7,12,179,1.2,-2,25.8,20.3,28.7,49,284.56,823.99,-530.2,10.8,25.5,5695,,
1981,2,8,0,240.2,1.3,-2.4,30.4,23.7,28.1,51.8,289.93,980.67,-66.7,387.3,29.1,5623,,
1981,2,8,12,226.6,-0.9,-5.1,28.2,20.7,30.7,51.4,289.55,902.76,-159,1789.6,28.3,5656,,
1981,2,9,0,180.1,4.8,4.3,27,22.7,26.5,49.2,282.75,909.19,0,0,24.9,5620,,
1981,2,9,12,185.8,1.3,-1.7,30.4,22.1,27.7,49.8,286.77,910.63,-163.7,175.1,31.5,5634,,
1981,2,10,0,172.2,2.5,0.1,32.4,23.3,26.5,49.8,288.16,985.76,-2.3,28.1,29.9,5610,,
1981,2,10,12,88.8,-2.9,-4.2,23.7,21.5,28.5,50,287.77,985.79,-3.5,777.9,19,5497,,
1981,2,11,0,139.3,11.6,11.7,11.8,13.3,16.5,29.8,285,988.39,0,0,24.4,5586,,
1981,2,11,12,96.3,3.9,2.4,18.2,15.5,24.1,39.6,285.06,917.71,-65.4,17.1,21.2,5594,,
1981,2,12,0,80.3,7.2,7.5,11.4,16.9,23.1,40,283.77,968.83,0,0,18.3,5618,,
1981,2,12,12,40.7,0.8,-2.9,9.2,12.8,20.3,33.1,288.92,919.33,-50.9,1177.8,22.1,5585,,
1981,2,13,0,74.2,9.6,8.6,1.4,10.7,18.5,29.2,285.95,973.59,0,0,20.2,5611,,
1981,2,13,12,199.9,2.2,8.6,15,21.5,25.3,46.8,288.44,882.37,-197.8,0,25.6,5634,,
1981,2,14,0,81.5,7.7,3.8,-0.8,8,20.7,28.7,289.7,975.66,0,0,23.2,5677,,
1981,2,14,12,91.2,3.6,-1,8.8,3.2,27.9,31.1,289.22,878.25,-321.7,287.3,25.1,5720,,
1981,2,15,0,135.9,6.9,1.8,10,12.1,27.5,39.6,291.29,978.01,0,0,27.6,5722,,
1981,2,15,12,77.6,4.2,-0.2,6.4,6.8,25.5,32.3,288.4,859.57,-323.6,16.2,23.5,5735,,
1981,2,16,0,135.3,2.5,-3.4,13.8,15.5,26.3,41.8,293.75,997.6,-24.2,257.5,26.2,5691,,
1981,2,16,12,138.3,4.7,1.3,8.6,12.5,24.9,37.4,284.48,819.44,0,0,24.2,5706,,
1981,2,17,0,162,3.1,-1.9,16.6,18.7,24.7,43.4,291.55,951.22,-74.2,318.5,28.7,5677,,
1981,2,17,12,167.3,5.6,2.4,12.4,15.7,24.1,39.8,284.22,814.93,0,0,28.1,5708,,
1981,2,18,0,111,8.4,6.5,8,14.5,20.7,35.2,286.21,944.11,0,0,19.4,5639,,
1981,2,18,12,121.1,7,4.6,9.4,13.3,22.7,36,281.58,792.37,0,0,24,5717,,
1981,2,19,0,64,7,6.1,4.8,10.4,22.9,33.3,283.56,918.32,0,0,15.3,5634,,
1981,2,19,12,69.8,9.9,8.1,0.6,2,24.1,26.1,279.23,784.01,0,0,20.3,5739,,
1981,2,20,0,66,8.1,7.1,3.8,4.4,25.3,29.7,283.12,909.01,0,0,15.5,5673,,
1981,2,20,12,64,8.6,6,4.2,7.3,26.3,33.6,282.05,812.03,0,0,21.3,5739,,
1981,2,21,0,71.8,7.9,5.7,7,9.8,26.1,35.9,285.91,938.46,0,0,19.9,5675,,
1981,2,21,12,60.1,3,-0.3,7,10.7,27.9,38.6,283.95,810.35,-734.6,12.2,20.6,5717,,
1981,2,22,0,66,5.3,3.7,7.6,7.6,27.1,34.7,283.08,874.47,0,0,16.2,5663,,
1981,2,22,12,79.5,3.1,0.3,7,10.6,28.5,39.1,281.77,781.45,0,0,19.8,5738,,
1981,2,23,0,70.5,10.3,8.6,6.8,12.7,23.9,36.6,285.88,963.3,0,0,21.5,5685,,
1981,2,23,12,60.1,-1.3,-3.2,13.2,13,29.9,42.9,280.75,782.46,-817.7,311.8,17.5,5642,,
1981,2,24,0,73.7,2.9,1.4,12,3.8,27.3,31.1,284.95,920.85,0,0,14.1,5613,,
1981,2,24,12,54.3,-2,-4.6,10.6,12.4,28.3,40.7,284.37,805.07,-526.9,904.5,17.4,5651,,
1981,2,25,0,67.9,2.6,-0.3,10.6,14.9,31.7,46.6,287.65,949.36,-481,2,19,5672,,
1981,2,25,12,243.3,-3.4,-7.3,20.2,20.5,32.9,53.4,286.89,807.79,-570.3,2792.7,24.2,5707,,
1981,2,26,0,91.3,2.7,-1.8,23.6,14.5,30.1,44.6,290.43,942.95,-218.3,39.5,24,5710,,
1981,2,26,12,52.4,-3.7,-8.7,12.4,10.4,31.1,41.5,289.89,824.36,-409.4,4043.4,24.1,5716,,
1981,2,27,0,112.6,3.7,-0.3,28,16.1,33.9,50,288.72,934.68,-321.3,411.4,21.6,5689,,
1981,2,27,12,69.7,-4.2,-8,11.8,15.9,32.1,48,287.49,830.7,-404.9,3224.9,17.6,5673,,
1981,2,28,12,265.3,-8.9,-15.1,32,20.7,35.5,56.2,293.06,876.11,-180.5,4596.2,31.8,5693,,
1981,3,1,0,460.2,-1.9,-7,36.6,23.3,34.9,58.2,293.26,987.57,-170.8,1750.7,33.8,5689,,
1981,3,1,12,509.5,-6.2,-14.3,37.6,27.1,34.9,62,296.65,916.4,-122.9,6116.2,39.2,5726,,
1981,3,2,0,203.1,-0.3,-4.9,29.2,19.9,32.3,52.2,290.04,943.04,-188.5,942.5,25.1,5664,,
1981,3,2,12,150.3,-0.7,-3.8,30.1,20.3,25.7,46,284.79,794.54,-565.2,1060.7,31.2,5694,,
1981,3,3,0,100.4,5.2,4.2,17,17.7,26.7,44.4,280.86,848.65,0,0,22.1,5644,,
1981,3,3,12,64,1.6,-0.6,10.4,8.8,27.5,36.3,280.75,787.89,-910.2,403.3,23.9,5682,,
1981,3,4,0,44.6,9.8,9.2,4.6,8.2,24.1,32.3,281.72,899.86,0,0,21.1,5666,,
1981,3,4,12,40.7,5,2.6,6,6.6,25.1,31.7,280.17,766.04,0,0,22.9,5719,,
1981,3,5,0,54.1,7.2,4,6.2,11.9,23.7,35.6,286.8,926.32,0,0,21.6,5687,,
1981,3,5,12,174.2,2.5,-1.7,21,20.1,26.3,46.4,287.37,835.25,-455.4,566.2,31.5,5730,,
1981,3,6,0,146.3,8.5,4.5,15,16.9,26.1,43,288.01,928.91,0,0,26.3,5726,,
1981,3,6,12,136.7,4.4,-0.5,18.4,14.9,23.7,38.6,288.52,843.03,-349,1054.7,32.2,5749,,
1981,3,7,0,119,5.4,0.4,18.6,16.1,27.3,43.4,290.1,945.91,-198.2,51.5,25.4,5702,,
1981,3,7,12,345.4,-3.9,-10.2,27.6,25.7,30.1,55.8,292.77,887.31,-155.8,4196.2,32.1,5704,,
1981,3,8,0,69.8,-1.7,-5.9,21,11.6,33.7,45.3,289.86,918.96,-209.5,2212.4,18.6,5661,,
1981,3,8,12,339.6,-3.4,-10.5,37.9,23.7,32.1,55.8,294.39,890.09,-186.9,4581.5,42.3,5729,,
1981,3,9,0,108.2,-1.7,-7.3,30,17.7,32.1,49.8,292.48,939.44,-149.7,2933.3,31.6,5682,,
1981,3,9,12,106.2,1.3,-2,20.2,17.7,29.3,47,285.34,857.62,-377.2,253.5,26,5680,,
1981,3,10,0,181.4,0.6,-3.9,33.1,20.7,30.3,51,289.77,948.84,-147.5,750.5,30.5,5675,,
1981,3,10,12,199.6,-3.1,-7.6,19.4,20.3,32.7,53,288.94,863.17,-302,2313.8,26.3,5696,,
1981,3,11,0,403,-2.9,-9.6,34.4,24.7,35.1,59.8,294.9,985.28,-136.5,3009.3,38.6,5691,,
1981,3,11,12,116.6,-6.7,-12.6,31.9,18.7,32.7,51.4,292.65,904.77,-97.9,4708,29.4,5668,,
1981,3,12,0,224.4,2.1,-2.9,33.6,22.1,30.1,52.2,290.71,959.7,-181.6,543.7,34.7,5694,,
1981,3,12,12,457.9,-2.3,-10.1,44.3,27.3,31.5,58.8,295.8,950.24,-77.3,3890.2,51.2,5726,,
1981,3,13,0,224.5,-4.3,-6.3,25.3,23.3,33.3,56.6,286.49,929.43,-131.9,595.4,19.9,5543,,
1981,3,13,12,258.8,0,-3.7,37.8,25.9,26.9,52.8,287.71,882.77,-178.2,1685.5,38.6,5667,,
1981,3,14,0,113.3,9.3,6.2,24.8,14.5,23.1,37.6,288.09,970.75,0,0,30.5,5677,,
1981,3,14,12,75.7,1.7,-1.7,15.2,15.3,26.3,41.6,286.22,848.86,-306.1,71.9,29.6,5674,,
1981,3,15,12,65.8,-0.1,-4.1,16.7,13.5,22.7,36.2,287.62,843.67,-263,829,22.6,5676,,
1981,3,16,0,163.9,1.4,-3.8,22.8,20.3,25.7,46,292.38,967.48,-39.8,1685.2,31.4,5649,,
1981,3,16,12,142.3,1.2,-2.7,31.7,19.3,27.7,47,287.05,875.78,-213.2,251.6,32.5,5690,,
1981,3,17,0,175,6.5,2.8,20.8,18.9,24.1,43,288.96,960.04,-108.9,3.2,35.5,5678,,
1981,3,17,12,169.1,0.3,-3,19.8,20.9,24.5,45.4,286.38,827.1,-364.5,108.8,33.4,5681,,
1981,3,18,0,171.4,4,-0.7,24.4,21.3,24.1,45.4,291.92,983.02,-37,127.4,37.6,5681,,
1981,3,18,12,125.3,0.8,-1.6,19.4,17.5,24.9,42.4,283.63,785.05,-654.5,0.8,29.1,5683,,
1981,3,19,0,93,4.6,-1.7,16.6,13.3,24.5,37.8,293.83,975.14,-63.7,53.3,35,5727,,
1981,3,19,12,194.7,3.1,0.9,27.4,23.3,26.3,49.6,279.91,747.88,0,0,38.5,5710,,
1981,3,20,0,150.2,1.4,-6.1,28.6,18.5,26.7,45.2,296.09,985.21,-29.8,3134.9,36.6,5715,,
1981,3,20,12,358.2,3.2,-2.6,43.5,26.3,27.7,54,291.53,905.26,-256.1,1114.2,56.8,5796,,
1981,3,21,0,163.5,1.3,-6.5,31.8,20.3,27.1,47.4,296.41,977.46,-20.9,2922.2,41.5,5728,,
1981,3,22,0,285.1,1.6,-3.6,36.9,23.1,30.5,53.6,291.89,948.32,-173.2,4.9,38.7,5729,,
1981,3,22,12,238.1,-5.7,-9.2,34.7,23.1,30.7,53.8,287.07,807.66,-463.8,772.1,29.7,5661,,
